Year,CZK,SEK,HUF,BGN,LTL,EEK
2005,29.782,9.2822,248.05,1.9558,3.452799603,15.6466
2006,28.342,9.2544,264.26,1.9558,3.4528,15.6466
2007,27.766,9.2501,251.35,1.955800392,3.4528,15.6466
2008,24.945,9.6152,251.51,1.9558,3.4528,15.6466
2009,26.435,10.6191,280.33,1.9558,3.4528,15.6466
2010,25.284,9.5373,275.48,1.955800388,3.4528,15.6466
2011,24.590,9.0298,279.37,1.9558,3.4528,
2012,25.149,8.7041,289.25,1.9558,3.4528,
2013,25.980,8.6515,296.87,1.9558,3.4528,
2014,27.536,9.0985,308.71,1.9558,3.4528,
2015,27.279,9.3535,310.00,1.955799609,,
2016,27.034,9.4689,311.44,1.9558,,
2017,26.326,9.6351,309.19,1.9558,,
2018,25.647,10.2583,318.89,1.9558,,
2019,25.670,10.5891,325.30,1.9558,,
2020,26.455,10.4848,351.25,1.9558,,
2021,25.640,10.1465,358.52,1.9558,,
2022,24.566,10.6296,391.29,1.9558,,
2023,24.004,11.4788,381.85,1.9558,,
2024,25.120,11.4325,395.30,1.9558,,
2025,24.688,11.0663,397.77,1.9558,,
