country,year,mortgage_rate
Sweden,2000,4.81
Sweden,2001,4.92
Sweden,2002,5.07
Sweden,2003,4.03
Sweden,2004,3.12
Sweden,2005,2.50
Sweden,2006,3.59
Sweden,2007,4.58
Sweden,2008,5.25
Sweden,2009,2.06
Sweden,2010,2.39
Sweden,2011,3.87
Sweden,2012,3.48
Sweden,2013,2.75
Sweden,2014,2.24
Sweden,2015,1.66
Sweden,2016,1.60
Sweden,2017,1.58
Sweden,2018,1.50
Sweden,2019,1.52
Sweden,2020,1.48
Sweden,2021,1.35
Sweden,2022,2.34
Sweden,2023,4.34
Sweden,2024,4.14
France,2000,5.84
France,2001,5.43
France,2002,5.02
France,2003,4.25
France,2004,3.92
France,2005,3.49
France,2006,3.71
France,2007,4.26
France,2008,4.84
France,2009,4.09
France,2010,3.42
France,2011,3.80
France,2012,3.56
France,2013,3.19
France,2014,2.96
France,2015,2.32
France,2016,1.88
France,2017,1.60
France,2018,1.55
France,2019,1.36
France,2020,1.26
France,2021,1.15
France,2022,1.47
France,2023,3.03
France,2024,3.41
Czechia,2003,5.16
Czechia,2004,4.79
Czechia,2005,3.96
Czechia,2006,4.18
Czechia,2007,4.69
Czechia,2008,5.61
Czechia,2009,5.61
Czechia,2010,4.90
Czechia,2011,4.04
Czechia,2012,3.52
Czechia,2013,3.26
Czechia,2014,2.56
Czechia,2015,2.33
Czechia,2016,2.07
Czechia,2017,2.11
Czechia,2018,2.49
Czechia,2019,2.62
Czechia,2020,2.22
Czechia,2021,2.27
Czechia,2022,4.61
Czechia,2023,5.88
Czechia,2024,5.16
Hungary,2003,13.20
Hungary,2004,13.00
Hungary,2005,13.30
Hungary,2006,11.20
Hungary,2007,9.80
Hungary,2008,10.80
Hungary,2009,11.50
Hungary,2010,10.60
Hungary,2011,10.40
Hungary,2012,10.50
Hungary,2013,9.60
Hungary,2014,8.50
Hungary,2015,6.20
Hungary,2016,5.40
Hungary,2017,4.60
Hungary,2018,4.40
Hungary,2019,4.45
Hungary,2020,4.50
Hungary,2021,4.45
Hungary,2022,4.85
Hungary,2023,5.55
Hungary,2024,5.75
Germany,2000,6.44
Germany,2001,5.87
Germany,2002,5.52
Germany,2003,5.14
Germany,2004,4.74
Germany,2005,4.25
Germany,2006,4.61
Germany,2007,5.09
Germany,2008,5.22
Germany,2009,4.26
Germany,2010,3.69
Germany,2011,3.84
Germany,2012,3.06
Germany,2013,2.76
Germany,2014,2.49
Germany,2015,1.95
Germany,2016,1.76
Germany,2017,1.83
Germany,2018,1.87
Germany,2019,1.52
Germany,2020,1.25
Germany,2021,1.26
Germany,2022,2.44
Germany,2023,4.00
Germany,2024,3.80
Italy,2000,5.29
Italy,2001,4.77
Italy,2002,4.36
Italy,2003,3.80
Italy,2004,3.66
Italy,2005,3.73
Italy,2006,4.87
Italy,2007,5.72
Italy,2008,5.09
Italy,2009,2.88
Italy,2010,2.97
Italy,2011,4.03
Italy,2012,3.69
Italy,2013,3.50
Italy,2014,2.83
Italy,2015,2.50
Italy,2016,2.02
Italy,2017,1.90
Italy,2018,1.89
Italy,2019,1.44
Italy,2020,1.25
Italy,2021,1.40
Italy,2022,3.01
Italy,2023,4.42
Italy,2024,3.11
Netherlands,2000,6.12
Netherlands,2001,5.57
Netherlands,2002,5.44
Netherlands,2003,4.50
Netherlands,2004,4.15
Netherlands,2005,3.76
Netherlands,2006,4.38
Netherlands,2007,4.97
Netherlands,2008,5.34
Netherlands,2009,4.86
Netherlands,2010,4.52
Netherlands,2011,4.55
Netherlands,2012,4.27
Netherlands,2013,3.78
Netherlands,2014,3.37
Netherlands,2015,2.95
Netherlands,2016,2.56
Netherlands,2017,2.41
Netherlands,2018,2.38
Netherlands,2019,2.18
Netherlands,2020,1.81
Netherlands,2021,1.63
Netherlands,2022,2.34
Netherlands,2023,4.03
Netherlands,2024,3.93
Bulgaria,2007,7.90
Bulgaria,2008,8.28
Bulgaria,2009,9.04
Bulgaria,2010,8.47
Bulgaria,2011,7.93
Bulgaria,2012,7.59
Bulgaria,2013,7.05
Bulgaria,2014,6.69
Bulgaria,2015,5.89
Bulgaria,2016,4.99
Bulgaria,2017,4.00
Bulgaria,2018,4.64
Bulgaria,2019,3.51
Bulgaria,2020,3.52
Bulgaria,2021,3.27
Bulgaria,2022,3.11
Bulgaria,2023,3.53
Bulgaria,2024,2.95
Croatia,2002,7.76
Croatia,2003,7.02
Croatia,2004,6.19
Croatia,2005,5.20
Croatia,2006,4.81
Croatia,2007,4.94
Croatia,2008,5.78
Croatia,2009,6.36
Croatia,2010,6.32
Croatia,2011,5.48
Croatia,2012,5.46
Croatia,2013,5.04
Croatia,2014,5.05
Croatia,2015,5.07
Croatia,2016,4.78
Croatia,2017,3.80
Croatia,2018,3.52
Croatia,2019,3.07
Croatia,2020,2.93
Croatia,2021,2.65
Croatia,2022,2.55
Croatia,2023,3.26
Croatia,2024,3.73
Spain,2004,3.24
Spain,2005,3.22
Spain,2006,4.05
Spain,2007,5.10
Spain,2008,5.67
Spain,2009,3.25
Spain,2010,2.53
Spain,2011,3.37
Spain,2012,3.30
Spain,2013,3.04
Spain,2014,2.96
Spain,2015,2.24
Spain,2016,2.01
Spain,2017,1.95
Spain,2018,1.97
Spain,2019,1.99
Spain,2020,1.73
Spain,2021,1.49
Spain,2022,1.97
