Country,Interest Rate (Latest),3mo ago,6mo ago,12mo ago,5-year avg
Austria,3.38%,3.38%,3.38%,3.62%,2.82%
Belgium,3.45%,3.36%,3.24%,3.16%,2.75%
Bosnia and Herzegovina,3.93%,4.00%,3.93%,3.93%,3.73%
Bulgaria,2.71%,2.75%,2.75%,2.78%,2.89%
Croatia,3.04%,3.00%,2.93%,3.70%,3.04%
Cyprus,3.12%,3.03%,3.26%,3.30%,3.35%
Czech Republic,4.50%,4.54%,4.60%,4.63%,4.20%
Denmark,3.48%,3.49%,3.53%,4.23%,3.83%
Estonia,3.73%,3.75%,3.81%,4.50%,3.93%
Finland,2.82%,2.81%,2.74%,3.21%,2.61%
France,2.99%,2.99%,3.00%,3.14%,2.39%
Germany,3.71%,3.74%,3.68%,3.56%,3.02%
Greece,3.43%,3.55%,3.59%,3.65%,3.52%
Hungary,7.72%,6.99%,6.73%,6.55%,6.81%
Ireland,3.46%,3.55%,3.58%,3.73%,3.38%
Italy,3.38%,3.28%,3.19%,3.11%,2.87%
Latvia,3.74%,3.91%,3.99%,4.40%,4.05%
Lithuania,3.69%,3.66%,3.76%,4.36%,3.87%
Luxembourg,3.42%,3.29%,3.30%,3.52%,2.94%
Malta,2.01%,1.88%,1.84%,1.88%,1.97%
Moldova,8.11%,8.17%,8.25%,7.04%,8.58%
Montenegro,4.89%,4.90%,4.93%,5.01%,4.85%
Netherlands,3.52%,3.50%,3.59%,3.65%,3.01%
North Macedonia,3.68%,3.73%,3.84%,4.07%,3.69%
Norway,4.76%,4.86%,4.93%,5.09%,4.15%
Poland,6.01%,6.74%,7.18%,7.80%,7.01%
Portugal,2.84%,2.86%,2.92%,3.20%,2.63%
Romania,6.54%,6.17%,5.86%,6.20%,5.68%
Russia,7.59%,8.03%,7.47%,8.47%,8.28%
Serbia,4.72%,4.64%,5.02%,5.91%,5.01%
Slovakia,3.40%,3.35%,3.64%,3.92%,2.87%
Slovenia,2.86%,2.83%,2.86%,3.18%,2.91%
Spain,2.61%,2.66%,2.68%,2.90%,2.64%
Sweden,3.24%,3.09%,3.02%,2.97%,2.85%
Switzerland,1.38%,1.45%,1.47%,1.66%,1.72%
Ukraine,8.66%,9.45%,9.91%,9.52%,10.43%
United Kingdom,4.52%,4.57%,4.47%,4.57%,4.04%
