DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2009,5.7,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2010,5.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2011,4.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2012,5.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2013,5.7,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2014,6.0,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2015,6.1,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2016,6.5,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2017,5.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2018,5.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2019,4.8,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2020,6.0,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2021,6.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2022,4.8,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2023,5.1,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2024,5.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Austria,2025,5.7,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2009,8.0,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2010,8.4,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2011,7.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2012,7.6,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2013,8.6,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2014,8.7,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2015,8.7,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2016,7.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2017,7.2,b,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2018,6.0,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2019,5.5,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2020,5.8,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2021,6.3,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2022,5.6,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2023,5.5,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2024,5.7,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Belgium,2025,6.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2009,7.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2010,11.3,b,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2011,12.3,b,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2012,13.3,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2013,13.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2014,12.4,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2015,10.1,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2016,8.6,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2017,7.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2018,6.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2019,5.2,b,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2020,6.1,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2021,5.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2022,4.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2023,4.3,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2024,4.2,b,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Bulgaria,2025,3.5,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2009,5.4,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2010,6.3,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2011,7.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2012,11.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2013,15.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2014,16.1,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2015,15.0,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2016,13.0,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2017,11.1,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2018,8.4,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2019,7.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2020,7.6,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2021,7.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2022,6.3,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2023,5.8,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2024,4.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Cyprus,2025,4.4,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2009,6.7,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2010,7.3,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2011,6.7,b,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2012,7.0,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2013,7.0,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2014,6.1,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2015,5.1,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2016,4.0,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2017,2.9,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2018,2.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2019,2.0,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2020,2.6,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2021,2.8,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2022,2.2,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2023,2.6,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2024,2.6,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Czechia,2025,2.8,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Germany,2009,7.3,,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Germany,2010,6.6,b,
ESTAT:TIPSUN20(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 74 years,Percentage of population in the labour force,Germany,2011,5.5,b,
